,dataset_id,prec,audrc,dt_mean,dt_std
0,an,1.0,1.0,7.568700823783875,1.4372133620552197
1,ans,0.98,0.975995583812465,8.310944447517395,0.9783354857134564
2,ls,0.98,0.9788552806883741,7.663121936321258,1.3937801522615683
3,lss,1.0,1.0,7.105580887794495,1.4818024791775601
4,mnu,1.0,1.0,7.705542993545532,1.385966339590136
5,sim,0.83,0.8080860213407786,7.685039284229279,1.298506905345991
6,simc,0.84,0.8917635931805826,7.772750277519226,1.3223742312584428
7,simg,0.76,0.7381166024790252,7.777320828437805,1.2607064764127018
8,simln,0.86,0.8392475030062306,7.77450217962265,1.3623899540004243
9,tue,0.5252525252525253,0.4734606581863165,10.801299364879878,6.824571098939949
10,cha,0.7966666666666666,0.8415018912676855,7.212261486848195,0.9860676388095981
11,net,0.8466666666666667,0.8423094471574422,6.753137346108755,0.30875520656260175
12,multi,0.93,0.9368010334832108,7.0711762579282125,0.9003335867391438
13,d4s1,0.5416666666666666,0.5365016635458063,6.895995497703552,1.2620877789488567
14,d4s2a,0.5994318181818182,0.6213258610716555,6.02085528048602,0.3511128847479022
15,d4s2b,0.5461847389558233,0.48344170290837346,5.982483131818503,0.3639469443518323
16,d4s2c,0.5181347150259067,0.4909419535331509,5.899451125471085,0.28433722334097056
17,per,0.99,0.9996969490826634,7.233002676963806,0.1637765560167104
18,sig,0.7,0.6873525445477235,7.135605273246765,0.20479299387770444
19,vex,0.78,0.7731889389967128,7.107380228042603,0.19824241319242047
20,qdv,0.78,0.7634247226254745,6.119462141990661,0.3847563620262447
21,sigv,0.91,0.8902585035925273,6.080038020610809,0.30811322831802473
22,rbfv,0.85,0.8509414684123574,6.130459849834442,0.3239242965651923
23,nnv,0.89,0.9017348589251065,6.163291120529175,0.34612559710349916
