,dataset_id,prec,audrc,dt_mean,dt_std
0,an,0.94,0.9465739931085292,7.229601113796234,1.518089195823637
1,ans,0.79,0.7899217797213051,7.855145039558411,1.3106180604841333
2,ls,0.69,0.6799191063315949,7.492845990657806,1.3631151655564147
3,lss,0.86,0.8909325668982666,7.532527875900269,1.467958418883454
4,mnu,0.71,0.7243056180744238,7.785905299186706,1.2115401027924866
5,sim,0.79,0.7223096077846465,7.4558230710029605,1.4034456348184923
6,simc,0.74,0.8035277583902942,7.604877729415893,1.5683034701265595
7,simg,0.71,0.7095174358698548,7.887312836647034,1.2193820497882717
8,simln,0.82,0.7979766355785851,6.511239111423492,0.8630175465924262
9,tue,0.45454545454545453,0.4815750857414405,10.009318828582764,7.88162061236462
10,cha,0.6866666666666666,0.7300856665951762,7.0829305768013,0.3493880769610994
11,net,0.7066666666666667,0.7038769368162525,7.093581813176473,0.3280635485943427
12,multi,0.7833333333333333,0.8112757078130386,7.1833404056231185,0.3508309243105434
13,d4s1,0.16666666666666666,0.05675112455066857,6.247733970483144,0.20788509015642684
14,d4s2a,0.5340909090909091,0.5134904827173901,6.359675540842793,0.29318032983185116
15,d4s2b,0.5281124497991968,0.4968051259803134,6.281869401414711,0.2837525555413005
16,d4s2c,0.5466321243523317,0.5965945226877001,6.302732832073548,0.25954787786177025
17,per,0.97,0.9604463080720375,7.692226095199585,0.17022762845360945
18,sig,0.64,0.6352353470627672,7.645208120346069,0.26882274732843714
19,vex,0.87,0.8731850597009911,7.655371475219726,0.2801630752566243
20,qdv,0.73,0.7651617667730457,6.602125880718231,0.42313251732632534
21,sigv,0.79,0.7071909539147935,6.859335021972656,0.41610011740211755
22,rbfv,0.86,0.8418281296179912,6.790079205036164,0.4214426926313068
23,nnv,0.88,0.8642531219406834,6.7492080545425415,0.4554899196187318
