,dataset_id,prec,audrc,dt_mean,dt_std
0,an,0.99,0.9581262248236038,0.009086637496948243,0.0007859687715183142
1,ans,0.88,0.7510833149783278,0.009670770168304444,0.0007940701572290565
2,ls,1.0,1.0,0.00991844654083252,0.0003454927487628192
3,lss,0.78,0.8024094120685419,0.00990851640701294,0.0005004712787078794
4,mnu,1.0,1.0,0.009730012416839599,0.0002555865264030525
5,sim,0.83,0.8524736248569117,0.009923498630523681,0.000388467213717319
6,simc,0.79,0.8293507152687754,0.009855039119720459,0.0003923835223402007
7,simg,0.83,0.8129761209161458,0.00968956470489502,0.0002502153951337969
8,simln,0.68,0.6917088077936717,0.009812307357788087,0.00037668182527643033
9,tue,0.5353535353535354,0.47067781914019036,0.017371100608748618,0.03239187928832426
10,cha,0.5966666666666667,0.6303173161236674,0.007178804874420166,0.00013830602697725107
11,net,0.8933333333333333,0.8981089456617949,0.007123509248097738,0.00016244981156508605
12,multi,0.8833333333333333,0.8927089506167025,0.007032528718312581,9.056183589523763e-05
13,d4s1,0.5833333333333334,0.7543784970924391,0.0007939338684082031,1.8527491265610573e-05
14,d4s2a,0.6704545454545454,0.6919758898953728,0.0012305914001031356,8.162629729062782e-06
15,d4s2b,0.6104417670682731,0.6422303397600235,0.0012379645343765198,2.1045924481741796e-05
16,d4s2c,0.6424870466321243,0.6080728723228318,0.0012353627792911826,2.2326382761683828e-05
17,per,0.77,0.785165816015996,0.01060652256011963,0.00012866687539980678
18,sig,0.89,0.8350177606531602,0.010632705688476563,0.00015523902569314262
19,vex,0.63,0.6010504696518022,0.010643320083618164,0.0001563726223466202
20,qdv,0.42,0.4421551211222232,0.004408018589019775,5.619710769291288e-05
21,sigv,0.67,0.7270915267006883,0.004397976398468018,2.686672470525066e-05
22,rbfv,0.68,0.6601937410618497,0.004412636756896972,4.936022193550859e-05
23,nnv,0.53,0.4873446323501673,0.004402554035186768,2.2367687895062586e-05
