,dataset_id,prec,audrc,dt_mean,dt_std
0,an,1.0,1.0,6.215698766708374,0.47252903735195606
1,ans,0.98,0.9843569987888289,6.190239644050598,0.5543051677488396
2,ls,0.99,0.9791583316057106,5.914050011634827,0.35706496060534376
3,lss,0.41,0.37886361643487343,5.972661371231079,0.4783138125572257
4,mnu,1.0,1.0,6.075604758262634,0.4498083548478312
5,sim,0.89,0.8739032908838366,6.078503189086914,0.5240176702550962
6,simc,0.82,0.8715964298443579,6.176748559474945,0.5444706423178123
7,simg,0.83,0.8152730734204704,6.137546088695526,0.5955342010012621
8,simln,0.85,0.8575727653076491,6.1302903175354,0.5996930298625257
9,tue,0.43434343434343436,0.38559996393935786,10.1914066931214,8.92233215673973
10,cha,0.82,0.8627691728157327,6.414872018496196,0.27118487640845085
11,net,0.8266666666666667,0.8459449071227018,6.436771520773569,0.24466795777606556
12,multi,0.8366666666666667,0.8442390512738278,6.406709942022959,0.28189892765704033
13,d4s1,0.4166666666666667,0.44687951687358574,5.601470758517583,0.19649837299914882
14,d4s2a,0.5852272727272727,0.5790976436957197,5.680311140011657,0.27477880275176436
15,d4s2b,0.5301204819277109,0.40855358161625743,5.929553642809152,0.45164974611959474
16,d4s2c,0.5259067357512953,0.5088858338822282,6.15383534913236,0.520569111920483
17,per,0.97,0.989467330561435,7.411704213619232,0.2855695732180907
18,sig,0.62,0.6442193811926269,7.367467665672303,0.2349284445947426
19,vex,0.53,0.5224656463366256,7.360919785499573,0.2780976653486857
20,qdv,0.78,0.8271045702675432,6.338958098888397,0.4222140392209141
21,sigv,0.86,0.8585413320088887,6.429301466941833,0.49348906058365366
22,rbfv,0.92,0.9326508865887234,6.352571766376496,0.5382203572380408
23,nnv,0.85,0.7988322710596225,6.187554876804352,0.35378592030740236
