,dataset_id,prec,audrc,dt_mean,dt_std
0,an,0.13,0.12286399184161322,5.9742950606346135,0.3150288301147572
1,ans,0.0,0.0,6.058655343055725,0.28657250860046896
2,ls,0.46,0.4682655334958138,5.816045625209808,0.2603891417391477
3,lss,0.74,0.7021290566671002,5.793292484283447,0.3224044276812273
4,mnu,1.0,1.0,5.756668040752411,0.2880501339387305
5,sim,0.73,0.7436110411848367,5.902803337574005,0.2733570962658933
6,simc,0.64,0.6987182183579991,5.931815762519836,0.2956849373267904
7,simg,0.53,0.606623309214307,5.956930780410767,0.3232550815615772
8,simln,0.81,0.8379956605707528,5.793119127750397,0.31785556625472056
9,tue,0.41414141414141414,0.3958687487617074,11.608122132041238,14.321333072501456
10,cha,0.66,0.6371192315097054,6.526261619726816,0.25933498015467116
11,net,0.4166666666666667,0.4434602539000046,6.5361447445551555,0.2326839092408816
12,multi,0.7766666666666666,0.7616165773351681,6.443874401251475,0.25047372560259595
13,d4s1,0.4166666666666667,0.26416396853303736,5.525414784749349,0.3644325861811166
14,d4s2a,0.5454545454545454,0.5906218672573332,5.588586091995239,0.31126466027526495
15,d4s2b,0.5401606425702812,0.46894261978798996,5.580540313299402,0.3061609853471536
16,d4s2c,0.5129533678756477,0.5072418760687951,5.5582569053136,0.28122708248868733
17,per,1.0,1.0,7.1596866226196285,0.1300069025217472
18,sig,0.93,0.9486581522847023,7.093615319728851,0.12440387896145644
19,vex,0.97,0.975510091878202,7.088275499343872,0.1416216846618779
20,qdv,0.86,0.8595612430579769,5.904377107620239,0.31369133913494296
21,sigv,0.8,0.710729293305785,5.9430737519264225,0.28301946560691676
22,rbfv,0.84,0.8975206421765679,7.561756944656372,1.2302398391437015
23,nnv,0.87,0.8381680032830906,7.211770269870758,1.3845043215080841
